system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
51-eri,51-eri_sphere2017_h,images/51-eri/51-eri_sphere2017_h.png,Samland,2017,A&A,EDP Sciences,hybrid,1704.02987,2017A&A...603A..57S,arxiv-preprint-figure,,not-needed
51-eri,51-eri_sphere2017_k1,images/51-eri/51-eri_sphere2017_k1.png,Samland,2017,A&A,EDP Sciences,hybrid,1704.02987,2017A&A...603A..57S,arxiv-preprint-figure,,not-needed
99-herculis,99-herculis_herschel2012,images/99-herculis/99-herculis_herschel2012.png,Kennedy,2012,MNRAS,OUP,hybrid,1201.1911,2012MNRAS.421.2264K,arxiv-preprint-figure,,not-needed
aa-tau,aa-tau_exoalma,images/aa-tau/aa-tau_exoalma.png,Curone,2025,ApJL (exoALMA special issue),AAS/IOP,green-oa,2504.18725,2025ApJ...984L...9C,arxiv-preprint-figure,,not-needed
aa-tau,aa-tau_hst2013,images/aa-tau/aa-tau_hst2013.png,Cox,2013,"ApJ 762, 40",AAS/IOP,green-oa,,2013ApJ...762...40C,publisher-pdf,,not-needed
aa-tau,aa-tau_alice-f160w,images/aa-tau/aa-tau_alice-f160w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
aa-tau,aa-tau_exoalma-co,images/aa-tau/aa-tau_exoalma-co.png,Teague,2025,ApJL (exoALMA Focus Issue),AAS/IOP,green-oa,2504.18688,2025ApJ...984L...6T,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_alma2017,images/ab-aur/ab-aur_alma2017.png,Tang,2017,"ApJ 840, 32",AAS/IOP,green-oa,1704.02699,2017ApJ...840...32T,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_seeds2011,images/ab-aur/ab-aur_seeds2011.png,Hashimoto,2011,"ApJL 729, L17",AAS/IOP,green-oa,1102.4408,2011ApJ...729L..17H,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_sphere2020,images/ab-aur/ab-aur_sphere2020.png,Boccaletti,2020,"A&A 637, L5",EDP Sciences,hybrid,2005.09064,2020A&A...637L...5B,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_scexao2022,images/ab-aur/ab-aur_scexao2022.png,Currie,2022,"Nature Astronomy 6, 751",Springer Nature,restrictive,2204.00633,2022NatAs...6..751C,arxiv-preprint-figure,Y,not-needed
ab-aur,ab-aur_sphere-taurus,images/ab-aur/ab-aur_sphere-taurus.png,Garufi,2024,"A&A 685, A53",EDP Sciences,hybrid,2403.02158,2024A&A...685A..53G,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_sphere2020-inner,images/ab-aur/ab-aur_sphere2020-inner.png,Boccaletti,2020,"A&A 637, L5",EDP Sciences,hybrid,2005.09064,2020A&A...637L...5B,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_stis1999,images/ab-aur/ab-aur_stis1999.png,Grady,1999,"ApJL 523, L151",AAS/IOP,green-oa,,1999ApJ...523L.151G,publisher-pdf,,not-needed
ab-aur,ab-aur_alice-f110w,images/ab-aur/ab-aur_alice-f110w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
ab-aur,ab-aur_lbti2022-lp,images/ab-aur/ab-aur_lbti2022-lp.png,Jorquera,2022,ApJ,AAS/IOP,green-oa,2201.08867,2022ApJ...926...71J,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_lbti2022-ks,images/ab-aur/ab-aur_lbti2022-ks.png,Jorquera,2022,ApJ,AAS/IOP,green-oa,2201.08867,2022ApJ...926...71J,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_seeds2011-closeup,images/ab-aur/ab-aur_seeds2011-closeup.png,Hashimoto,2011,"ApJL 729, L17",AAS/IOP,green-oa,1102.4408,2011ApJ...729L..17H,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_alma2024,images/ab-aur/ab-aur_alma2024.png,Speedie,2024,Nature (2024),Springer Nature,restrictive,2409.02196,2024Natur.633...58S,arxiv-preprint-figure,Y,not-needed
ab-aur,ab-aur_dykes2024-j,images/ab-aur/ab-aur_dykes2024-j.png,Dykes,2024,ApJ,AAS/IOP,green-oa,2410.11939,2024ApJ...977..172D,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_dykes2024-h,images/ab-aur/ab-aur_dykes2024-h.png,Dykes,2024,ApJ,AAS/IOP,green-oa,2410.11939,2024ApJ...977..172D,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_dykes2024-k,images/ab-aur/ab-aur_dykes2024-k.png,Dykes,2024,ApJ,AAS/IOP,green-oa,2410.11939,2024ApJ...977..172D,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_muse2025,images/ab-aur/ab-aur_muse2025.png,Currie,2025,"ApJL 990, L42",AAS/IOP,green-oa,2508.18351,2025ApJ...990L..42C,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_wfc3-2022,images/ab-aur/ab-aur_wfc3-2022.png,Zhou,2022,"ApJL 934, L13",AAS/IOP,green-oa,2207.06525,2022ApJ...934L..13Z,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_stis2005,images/ab-aur/ab-aur_stis2005.png,Grady,2005,"ApJ 630, 958",AAS/IOP,green-oa,,2005ApJ...630..958G,publisher-pdf,,not-needed
